"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"égoïste#d-negative";"0";"1";"29";"égoïste";"N";"égoïste#29"
"inflexible#d-negative";"0";"1";"3";"inflexible";"G";"inflexible#3"
"plaide#d-positive";"0";"1";"9";"plaider";"V";"plaide#9"
"voulions#i-positive";"0";"1";"3";"vouloir";"V";"voulions#3"
"suspendue#d-negative";"0";"1";"3";"suspendre";"V";"suspendue#3"
"opposé#d-strongnegative";"0";"1";"11";"opposer";"V";"opposé#11"
"célèbre#d-strongpositive";"0";"1";"3";"célèbre";"G";"célèbre#3"
"affirme#d-positive";"0";"1";"22";"affirmer";"V";"affirme#22"
"souligné#d-positive";"0";"1";"58";"souligner";"V";"souligné#58"
"sont impressionnantes#d-strongpositive";"1";"2";"2";"être impressionnant";"V G";"sont#418 impressionnantes#2"
"ont plaidé#d-positive";"1";"2";"2";"avoir plaider";"V V";"ont#566 plaidé#23"
"embarras potentiel#d-negative";"1";"1";"1";"embarra potentiel";"N G";"embarras#1 potentiel#8"
"bien compréhensible#d-strongpositive";"1";"1";"1";"bien compréhensible";"G G";"bien#126 compréhensible#2"
"souhaite redonner#d-positive";"1";"1";"1";"souhaiter redonner";"V V";"souhaite#26 redonner#12"
"vrai primordiale#i-positive";"1";"1";"1";"vrai primordiale";"G N";"vrai#24 primordiale#1"
"globalement décevant#d-strongnegative";"1";"1";"1";"globalement décevant";"G G";"globalement#4 décevant#6"
"s’ agace#d-negative";"1";"1";"1";"s’ agace";"V N";"s’#113 agace#1"
"voulons pas#d-negative";"1";"1";"1";"vouloir pas";"V G";"voulons#15 pas#968"
"quasi définitive#d-positive";"1";"1";"1";"quasi définitif";"G G";"quasi#8 définitive#4"
"feront plus#d-strongpositive";"1";"1";"1";"faire plus";"V G";"feront#10 plus#694"
"trop réglementé#i-strongnegative";"1";"1";"1";"trop réglementer";"G V";"trop#67 réglementé#1"
"doit afficher#i-negative";"1";"1";"1";"devoir afficher";"V V";"doit#168 afficher#6"
"sommes choqués#i-negative";"1";"1";"1";"sommer choquer";"V V";"sommes#60 choqués#1"
"l' incompétent#d-strongnegative";"1";"1";"1";"le incompétent";"D N";"l'#3450 incompétent#1"
"veulent maintenir#i-positive";"1";"1";"1";"vouloir maintenir";"V V";"veulent#40 maintenir#8"
"raté maintenant#d-strongnegative";"1";"1";"1";"rater maintenant";"V G";"raté#5 maintenant#41"
"interpellé publiquement#i-negative";"1";"1";"1";"interpeller publiquement";"V G";"interpellé#1 publiquement#5"
"se méfiait#d-strongnegative";"1";"1";"1";"se méfiait";"Q V";"se#618 méfiait#1"
"aussi déterminée#i-positive";"1";"1";"1";"aussi déterminer";"G V";"aussi#250 déterminée#8"
"absolument nécessaires#d-strongpositive";"1";"1";"1";"absolument nécessaire";"G G";"absolument#10 nécessaires#19"
"relations difficiles#i-strongnegative";"1";"1";"1";"relation difficile";"N G";"relations#63 difficiles#16"
"plutôt courageuse#d-strongpositive";"1";"1";"1";"plutôt courageux";"G G";"plutôt#28 courageuse#5"
"voulu préserver#d-positive";"1";"1";"1";"vouloir préserver";"V V";"voulu#7 préserver#13"
"absolument inacceptables#i-strongnegative";"1";"1";"1";"absolument inacceptable";"G G";"absolument#10 inacceptables#7"
"pays hostiles#d-negative";"1";"1";"1";"pays hostile";"N G";"pays#491 hostiles#6"
"veut réexaminer#i-negative";"1";"1";"1";"vouloir réexaminer";"V V";"veut#93 réexaminer#3"
"l' unisson#d-strongpositive";"1";"1";"1";"le unisson";"D N";"l'#3450 unisson#1"
"ont bouclé#d-positive";"1";"1";"1";"avoir boucler";"V V";"ont#566 bouclé#2"
"suis convaincu#d-positive";"1";"1";"1";"suivre convaincre";"V V";"suis#30 convaincu#10"
"ferons plus#d-strongpositive";"1";"1";"1";"ferons plus";"N G";"ferons#5 plus#694"
"va plaider#d-positive";"1";"1";"1";"aller plaider";"V V";"va#110 plaider#3"
"sont inacceptables#d-negative";"1";"1";"1";"être inacceptable";"V G";"sont#418 inacceptables#7"
"l' intransigeante#d-strongnegative";"1";"1";"1";"le intransigeant";"D N";"l'#3450 intransigeante#1"
"le chaos#d-strongnegative";"1";"1";"1";"le chaos";"D G";"le#4156 chaos#2"
"une géante#i-strongpositive";"1";"1";"1";"un géant";"D G";"une#1869 géante#1"
"sont prononcés#d-strongpositive";"1";"1";"1";"être prononcer";"V V";"sont#418 prononcés#1"
"a critiqué#d-negative";"0";"2";"4";"avoir critiquer";"V V";"a#2702 critiqué#19"
"a dénoncé#d-negative";"0";"2";"11";"avoir dénoncer";"V V";"a#2702 dénoncé#15"
"en faillite#d-strongnegative";"0";"1";"5";"en faillite";"P N";"en#2439 faillite#14"
"avait jugé#d-negative";"0";"1";"2";"avoir juger";"V V";"avait#302 jugé#42"
"très triste#d-strongnegative";"0";"1";"2";"très triste";"G G";"très#195 triste#6"
"a consacré#i-positive";"0";"1";"2";"avoir consacrer";"V V";"a#2702 consacré#13"
"au risque#d-negative";"0";"1";"7";"au risque";"P N";"au#1007 risque#43"
"veut accélérer#i-strongpositive";"0";"1";"2";"vouloir accélérer";"V V";"veut#93 accélérer#2"
"a commémoré#d-positive";"0";"1";"2";"avoir commémorer";"V V";"a#2702 commémoré#2"
"fallait éviter#d-negative";"0";"1";"2";"falloir éviter";"V V";"fallait#17 éviter#29"
"demande de#d-negative";"0";"1";"18";"demander de";"V P";"demande#55 de#8089"
"une chance#i-positive";"0";"1";"4";"un chance";"D N";"une#1869 chance#10"
"s' étonne#d-negative";"0";"1";"2";"s' étonner";"Q V";"s'#502 étonne#2"
"fraîchement réélue#i-positive";"0";"1";"10";"Fraîchement réélire";"N V";"fraîchement#11 réélue#19"
"décision historique#i-strongpositive";"0";"1";"2";"décision historique";"N G";"décision#68 historique#23"
"a été#d-positive";"0";"1";"169";"avoir être";"V V";"a#2702 été#404"
"a souhaité#d-positive";"0";"1";"9";"avoir souhaiter";"V V";"a#2702 souhaité#19"
"a appelé#d-positive";"0";"1";"14";"avoir appeler";"V V";"a#2702 appelé#31"
"ont dégénéré#d-negative";"0";"1";"2";"avoir dégénérer";"V V";"ont#566 dégénéré#2"
"n' appelle#d-negative";"0";"1";"2";"n' appeler";"G V";"n'#439 appelle#19"
"péril mortel#d-strongnegative";"0";"1";"4";"péril mortel";"N G";"péril#8 mortel#4"
"est important#d-strongpositive";"0";"1";"3";"être important";"V G";"est#1565 important#15"
"très important#d-strongpositive";"0";"1";"2";"très important";"G G";"très#195 important#15"
"fait polémique#i-negative";"0";"1";"5";"fait polémique";"N G";"fait#272 polémique#32"
"été accueillie triomphalement#i-positive";"1";"1";"1";"être accueillir triomphalement";"V V G";"été#404 accueillie#2 triomphalement#1"
"à s' opposer#d-strongnegative";"1";"1";"1";"à s' opposer";"P Q V";"à#3391 s'#502 opposer#5"
"n' entendait pas#d-negative";"1";"1";"1";"n' entendre pas";"G V G";"n'#439 entendait#2 pas#968"
"notre tâche centrale#d-strongpositive";"1";"1";"1";"son tâche central";"D N G";"notre#98 tâche#6 centrale#26"
"ne peut accuser#d-negative";"1";"1";"1";"ne pouvoir accuser";"G V V";"ne#712 peut#119 accuser#3"
"préservé l' emploi#d-strongpositive";"1";"1";"1";"préserver le emploi";"V D N";"préservé#1 l'#3450 emploi#88"
"a toutefois exclu#d-strongnegative";"1";"1";"1";"avoir toutefois exclure";"V G V";"a#2702 toutefois#44 exclu#5"
"réagit plus durement#d-negative";"1";"1";"1";"réagir plus durement";"V G G";"réagit#2 plus#694 durement#3"
"devons faire plus#d-positive";"1";"1";"1";"devoir faire plus";"V V G";"devons#35 faire#238 plus#694"
"semble très volatile#d-negative";"1";"1";"1";"sembler très volatil";"V G G";"semble#43 très#195 volatile#2"
"a dû reconnaître#d-positive";"1";"1";"1";"avoir devoir reconnaître";"V V V";"a#2702 dû#19 reconnaître#4"
"de 100 %#d-strongpositive";"1";"1";"1";"de 100 pourcent";"P D N";"de#8089 100#25 %#383"
"juste et pragmatique#d-positive";"1";"1";"1";"juste et pragmatique";"G C G";"juste#16 et#2810 pragmatique#2"
"jugée trop chère#i-strongnegative";"1";"1";"1";"juger trop cher";"V G G";"jugée#6 trop#67 chère#4"
"en revanche critiqué#d-negative";"1";"1";"1";"en revanche critiquer";"P N V";"en#2439 revanche#19 critiqué#19"
"se sont montrés#d-positive";"1";"1";"1";"se être montrer";"Q V V";"se#618 sont#418 montrés#3"
"doivent aller puiser#i-strongnegative";"1";"1";"1";"devoir aller puiser";"V V V";"doivent#64 aller#34 puiser#2"
"tenu à dédramatiser#d-strongpositive";"1";"1";"1";"tenir à dédramatiser";"V P V";"tenu#15 à#3391 dédramatiser#1"
"ne se contente#d-negative";"1";"1";"1";"ne se contenter";"G Q V";"ne#712 se#618 contente#1"
"fuck the eu#i-strongnegative";"1";"1";"1";"Fuck the EU";"O O O";"fuck#1 the#25 eu#45"
"tente d' éteindre#d-negative";"1";"1";"1";"tenter d' éteindre";"V P V";"tente#5 d'#2042 éteindre#3"
"exprimé son irritation#d-strongnegative";"1";"1";"1";"exprimer son irritation";"V D N";"exprimé#18 son#717 irritation#2"
"appelé à consacrer#d-strongpositive";"1";"1";"1";"appeler à consacrer";"V P V";"appelé#31 à#3391 consacrer#3"
"ne souhaite plus#i-negative";"1";"1";"1";"ne souhaiter plus";"G V G";"ne#712 souhaite#26 plus#694"
"considérée avec scepticisme#d-negative";"1";"1";"1";"considérer avec scepticisme";"V P N";"considérée#9 avec#732 scepticisme#11"
"s' engagent également#d-positive";"1";"1";"1";"s' engager également";"Q V G";"s'#502 engagent#3 également#106"
"se revendique vivement#d-strongpositive";"1";"1";"1";"se revendiquer vivement";"Q V G";"se#618 revendique#3 vivement#6"
"triste d' apprendre#d-negative";"0";"1";"3";"triste d' apprendre";"G P V";"triste#6 d'#2042 apprendre#3"
"rien de solide#i-strongnegative";"0";"1";"2";"rien de solide";"P P G";"rien#63 de#8089 solide#6"
"ne veulent plus#i-negative";"0";"1";"5";"ne vouloir plus";"G V G";"ne#712 veulent#40 plus#694"
"grande partie satisfaction#d-strongpositive";"0";"1";"3";"grand partie satisfaction";"G N N";"grande#159 partie#77 satisfaction#6"
"de l' austérité#d-negative";"0";"1";"34";"de le austérité";"P D N";"de#8089 l'#3450 austérité#127"
"trouvera sa voie#d-strongpositive";"0";"1";"2";"trouver son voie";"V D N";"trouvera#3 sa#360 voie#16"
"exprimé leur scepticisme#d-negative";"0";"1";"2";"exprimer son scepticisme";"V D N";"exprimé#18 leur#210 scepticisme#11"
"annonce vouloir alléger#i-strongpositive";"0";"1";"2";"annoncer vouloir alléger";"V V V";"annonce#35 vouloir#20 alléger#4"
"perte de compétitivité#d-strongnegative";"0";"1";"2";"perte de compétitivité";"N P N";"perte#9 de#8089 compétitivité#38"
"une vraie amie#d-strongpositive";"0";"1";"4";"un vrai ami";"D G N";"une#1869 vraie#13 amie#6"
"limité la casse#i-negative";"0";"1";"2";"limiter le casse";"V D N";"limité#2 la#5587 casse#7"
"complètement en phase#d-positive";"0";"1";"2";"complètement en phase";"G P N";"complètement#5 en#2439 phase#5"
"ne veut pas#d-negative";"0";"1";"10";"ne vouloir pas";"G V G";"ne#712 veut#93 pas#968"
"suscité l' ire#d-strongnegative";"0";"1";"4";"susciter le ire";"V D N";"suscité#18 l'#3450 ire#5"
"se sont entendus#d-positive";"0";"1";"2";"se être entendre";"Q V V";"se#618 sont#418 entendus#2"
"ne vois pas#i-negative";"0";"1";"3";"ne voir pas";"G V G";"ne#712 vois#4 pas#968"
"tension tout court#i-negative";"0";"1";"4";"tension tout court";"N G G";"tension#26 tout#254 court#12"
"ne peut plus#d-negative";"0";"1";"3";"ne pouvoir plus";"G V G";"ne#712 peut#119 plus#694"
"essentielle pour nous#d-strongpositive";"0";"1";"3";"essentiel pour lui";"G P Q";"essentielle#5 pour#1653 nous#527"
"détruit l' europe#i-negative";"0";"1";"5";"détruire le Europe";"V D N";"détruit#11 l'#3450 europe#595"
"en mauvaise posture#i-negative";"0";"1";"3";"en mauvais posture";"P G N";"en#2439 mauvaise#17 posture#6"
"se sont opposés#d-negative";"0";"1";"2";"se être opposer";"Q V V";"se#618 sont#418 opposés#8"
"n' avons pas#d-positive";"0";"1";"9";"n' avoir pas";"G V G";"n'#439 avons#84 pas#968"
"ne pas franchir#d-strongnegative";"0";"1";"2";"ne pas franchir";"G G V";"ne#712 pas#968 franchir#6"
"confiance et cohésion#i-strongpositive";"0";"1";"2";"confiance et cohésion";"N C N";"confiance#44 et#2810 cohésion#16"
"augmentent les salaires#i-negative";"0";"1";"2";"augmenter le salaire";"V D N";"augmentent#4 les#3217 salaires#28"
"ne veux pas#d-negative";"0";"1";"2";"ne vouloir pas";"G V G";"ne#712 veux#8 pas#968"
"un jour merveilleux#d-strongpositive";"0";"1";"2";"un jour merveilleux";"D N G";"un#2096 jour#103 merveilleux#2"
"un pont d’ or#d-strongpositive";"1";"1";"1";"un pont d’ or";"D N P N";"un#2096 pont#3 d’#416 or#13"
