"target#aspect";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"chancen#unknown";"0";"1";"24";"Chance";"N";"chancen#24"
"punkten#unknown";"0";"1";"11";"punkten";"V";"punkten#11"
"weg#unknown";"0";"1";"126";"Weg";"N";"weg#126"
"jackett#unknown";"0";"1";"2";"Jackett";"N";"jackett#2"
"vertrauensbruch#unknown";"0";"1";"4";"Vertrauensbruch";"N";"vertrauensbruch#4"
"reform#unknown";"0";"1";"36";"Reform";"N";"reform#36"
"positionen#unknown";"0";"1";"21";"Position";"N";"positionen#21"
"dafür#unknown";"0";"1";"172";"dafür";"Q";"dafür#172"
"einander#unknown";"0";"1";"3";"einander";"Q";"einander#3"
"banken#unknown";"0";"1";"98";"Bank";"N";"banken#98"
"helfen#unknown";"0";"1";"28";"helfen";"V";"helfen#28"
"partner#unknown";"0";"1";"74";"Partner";"N";"partner#74"
"waffen#unknown";"0";"1";"11";"Waffe";"N";"waffen#11"
"inakzeptabel#unknown";"0";"1";"12";"inakzeptabel";"G";"inakzeptabel#12"
"titel#unknown";"0";"1";"26";"Titel";"N";"titel#26"
"probleme#unknown";"0";"1";"51";"Problem";"N";"probleme#51"
"russland#unknown";"0";"1";"173";"Russland";"R";"russland#173"
"worte#unknown";"0";"1";"28";"Wort";"N";"worte#28"
"janukowitschs#unknown";"0";"1";"7";"Janukowitschs";"O";"janukowitschs#7"
"mich#unknown";"0";"1";"62";"ich";"Q";"mich#62"
"sorgen#unknown";"0";"1";"36";"Sorge|Sorgen";"N";"sorgen#36"
"insel#unknown";"0";"1";"20";"Insel";"N";"insel#20"
"spähprogrammen#unknown";"0";"1";"2";"Spähprogrammen";"O";"spähprogrammen#2"
"stromrabatte#unknown";"0";"1";"4";"Stromrabatte";"O";"stromrabatte#4"
"einschnitten#unknown";"0";"1";"5";"Einschnitt";"N";"einschnitten#5"
"kritik#unknown";"0";"1";"118";"Kritik";"N";"kritik#118"
"märkte#unknown";"0";"1";"9";"Markt";"N";"märkte#9"
"kroatien#unknown";"0";"1";"35";"Kroatien";"R";"kroatien#35"
"reaktionen#unknown";"0";"1";"12";"Reaktion";"N";"reaktionen#12"
"interesse#unknown";"0";"1";"30";"Interesse";"N";"interesse#30"
"diese zuspitzung#unknown";"1";"1";"1";"dies Zuspitzung";"Q N";"diese#279 zuspitzung#1"
"moskaus druck#unknown";"1";"1";"1";"Moskau Druck";"R N";"moskaus#8 druck#102"
"schärfere klimaschutzrichtlinien#unknown";"1";"1";"1";"scharf Klimaschutzrichtlinien";"G O";"schärfere#8 klimaschutzrichtlinien#1"
"internationales profil#unknown";"1";"1";"1";"international Profil";"G N";"internationales#7 profil#11"
"die kunstschätze#unknown";"1";"1";"1";"die Kunstschatz";"D N";"die#10176 kunstschätze#5"
"den auswirkungen#unknown";"1";"1";"1";"die Auswirkung";"D N";"den#2898 auswirkungen#12"
"vereinnahmen lassen#unknown";"1";"1";"1";"vereinnahmen lassen";"V V";"vereinnahmen#1 lassen#90"
"ein milliardenprogramm#unknown";"1";"1";"1";"eine Milliardenprogramm";"D N";"ein#1605 milliardenprogramm#1"
"an jugendarbeitslosigkeit#unknown";"1";"1";"1";"an Jugendarbeitslosigkeit";"P N";"an#1082 jugendarbeitslosigkeit#109"
"ihre fraktion#unknown";"1";"1";"1";"ihr Fraktion";"Q N";"ihre#346 fraktion#21"
"ihr team#unknown";"1";"1";"1";"ihr Team";"Q N";"ihr#177 team#11"
"der maut#unknown";"1";"1";"1";"die Maut";"D O";"der#9333 maut#79"
"eine mietenbremse#unknown";"1";"1";"1";"eine Mietenbremse";"D O";"eine#1818 mietenbremse#1"
"mehr aktivitäten#unknown";"1";"1";"1";"mehr Aktivität";"Q N";"mehr#640 aktivitäten#16"
"dauerhaften strafzöllen#unknown";"1";"1";"1";"dauerhaft Strafzoll";"G N";"dauerhaften#5 strafzöllen#4"
"die einwanderung#unknown";"1";"1";"1";"die Einwanderung";"D N";"die#10176 einwanderung#4"
"camerons pläne#unknown";"1";"1";"1";"Camerons Plan";"O N";"camerons#15 pläne#34"
"beide mannschaften#unknown";"1";"1";"1";"beide Mannschaft";"Q N";"beide#62 mannschaften#3"
"einen markteingriff#unknown";"1";"1";"1";"eine Markteingriff";"D O";"einen#726 markteingriff#1"
"deren behauptung#unknown";"1";"1";"1";"die Behauptung";"Q N";"deren#52 behauptung#7"
"politische reformen#unknown";"1";"1";"1";"politisch Reform";"G N";"politische#57 reformen#79"
"lange flaute#unknown";"1";"1";"1";"lange Flaute";"A N";"lange#62 flaute#3"
"eiliger entscheidung#unknown";"1";"1";"1";"eilig Entscheidung";"G N";"eiliger#1 entscheidung#66"
"diesem vorhaben#unknown";"1";"1";"1";"dies Vorhaben";"Q N";"diesem#162 vorhaben#23"
"mehr regulierung#unknown";"1";"1";"1";"mehr Regulierung";"Q N";"mehr#640 regulierung#18"
"neue konsense#unknown";"1";"1";"1";"neu Konsens";"G N";"neue#263 konsense#1"
