"exp#pol";"ratio";"RelatFreq";"OverallFreq";"lemmas";"postags";"FreqWords"
"folgerichtig grünes#i-strongpositive";"1";"1";"1";"folgerichtig grün";"G G";"folgerichtig#1 grünes#23"
"überfälligen reformen#i-negative";"1";"1";"1";"überfällig Reform";"G N";"überfälligen#1 reformen#79"
"schweren vertrauensbruch#i-strongnegative";"1";"1";"1";"schwer Vertrauensbruch";"G N";"schweren#14 vertrauensbruch#4"
"warnt vor#d-negative";"0";"3";"8";"warnen vor";"V P";"warnt#19 vor#972"
"warnte vor#d-negative";"0";"2";"18";"warnen vor";"V P";"warnte#87 vor#972"
"sehr vernünftige#i-strongpositive";"0";"2";"3";"sehr vernünftig";"A G";"sehr#240 vernünftige#8"
"sprach von#d-neutral";"0";"2";"31";"sprechen von";"V P";"sprach#104 von#2487"
"scharf kritisiert#d-strongnegative";"0";"2";"12";"scharf kritisieren";"G V";"scharf#32 kritisiert#60"
"freue mich#d-positive";"0";"1";"11";"freuen ich";"V Q";"freue#13 mich#62"
"eine verhandlungslösung#d-positive";"0";"1";"2";"eine Verhandlungslösung";"D N";"eine#1818 verhandlungslösung#2"
"konstruktiver atmosphäre#i-positive";"0";"1";"2";"konstruktiv Atmosphäre";"G N";"konstruktiver#4 atmosphäre#15"
"unglaubliches täuschungsmanöver#i-strongnegative";"0";"1";"4";"unglaublich Täuschungsmanöver";"G N";"unglaubliches#4 täuschungsmanöver#7"
"nicht passieren#i-positive";"0";"1";"2";"nicht passieren";"O V";"nicht#1882 passieren#8"
"verletzt vertrauen#i-strongnegative";"0";"1";"3";"verletzen Vertrauen";"V N";"verletzt#22 vertrauen#62"
"will nicht#d-negative";"0";"1";"2";"wollen nicht";"V O";"will#440 nicht#1882"
"zu harten#i-negative";"0";"1";"2";"zu hart";"O G";"zu#2417 harten#10"
"hoffen auf#d-positive";"0";"1";"4";"hoffen auf";"V V";"hoffen#17 auf#2145"
"spricht von#d-neutral";"0";"1";"10";"sprechen von";"V P";"spricht#46 von#2487"
"sät misstrauen#i-strongnegative";"0";"1";"3";"säen Misstrauen";"V N";"sät#3 misstrauen#10"
"vermutlich illegal#i-negative";"0";"1";"3";"vermutlich illegal";"A G";"vermutlich#20 illegal#9"
"völlig inakzeptabel#i-strongnegative";"0";"1";"3";"völlig inakzeptabel";"G G";"völlig#34 inakzeptabel#12"
"pocht auf#d-positive";"0";"1";"4";"pochen auf";"V P";"pocht#8 auf#2145"
"hob lobend#d-positive";"0";"1";"2";"heben lobend";"V G";"hob#23 lobend#2"
"die kritik#d-negative";"0";"1";"17";"die Kritik";"D N";"die#10176 kritik#118"
"nicht zulässig#i-negative";"0";"1";"3";"nicht zulässig";"O G";"nicht#1882 zulässig#4"
"nicht perfekt#i-negative";"0";"1";"2";"nicht perfekt";"O G";"nicht#1882 perfekt#4"
"unmissverständlich missbilligt#i-negative";"0";"1";"2";"unmissverständlich missbilligen";"G V";"unmissverständlich#4 missbilligt#2"
"stimmten gegen#d-negative";"0";"1";"3";"stimmen gegen";"V P";"stimmten#14 gegen#576"
"möglichst schwache#i-negative";"0";"1";"3";"möglichst schwach";"A G";"möglichst#24 schwache#8"
