spa-30-02566528-v;v;negative;0.75;transgredir,violar;-1
spa-30-00651991-v;v;positive;0.75;destacar,diferenciar,distinguir;-1
spa-30-02176178-a;a;negative;0.75;complejo;-1
spa-30-00079107-r;r;positive;0.75;indudablemente;-1
spa-30-00269989-a;a;neutral;0.75;claro,luminoso;-1
spa-30-02446651-a;a;negative;0.75;tierno;-1
spa-30-05872477-n;n;positive;0.75;principio;-1
spa-30-00644583-v;v;positive;0.75;analizar,estudiar;-1
spa-30-01346003-v;v;neutral;0.75;abrir;-1
spa-30-05207130-n;n;negative;0.75;incapacidad;-1
spa-30-00273306-r;r;negative;0.75;de_forma_asesina,enloquecido,frenéticamente;-1
spa-30-01767329-a;a;neutral;0.75;individual,particular,personal;-1
spa-30-01222884-a;a;negative;0.75;deshonesto,deshonroso,insincero;-1
spa-30-14070360-n;n;negative;0.75;afección,enfermedad,patología;-1
spa-30-02336449-a;a;negative;0.75;deficiente,insuficiente;-1
spa-30-01123148-a;a;positive;0.75;bueno;-1
spa-30-00233335-v;v;negative;0.75;limitar;-1
spa-30-01237901-v;v;positive;0.75;errar,fallar;-1
spa-30-14864360-n;n;negative;0.75;grasa;-1
spa-30-01356038-v;v;neutral;0.75;desconectar,desenchufar;-1
spa-30-00637259-v;v;positive;0.75;averigüar,calcular,codificar,computar,deducir;-1
spa-30-02582615-v;v;negative;0.75;cometer,perpetrar;-1
spa-30-02335828-a;a;neutral;0.75;suficiente;-1
spa-30-01848355-v;v;neutral;0.75;quedarse;-1
spa-30-08110373-n;n;neutral;0.75;especie;-1
spa-30-00069879-v;v;negative;0.75;herir,lesionar;-1
spa-30-01835496-v;v;neutral;0.75;desplazarse,ir,moverse,viajar;-1
spa-30-00033922-r;r;neutral;0.75;en_seguida,pronto;-1
spa-30-09505418-n;n;neutral;0.75;deidad,dios,divinidad;-1
spa-30-00647542-a;a;neutral;0.75;crítico;-1
spa-30-00017241-r;r;negative;0.75;peor;-1
spa-30-00689950-v;v;neutral;0.75;considerar,estimar;-1
spa-30-02449430-a;a;negative;0.75;tóxico;-1
spa-30-00007846-n;n;neutral;0.75;alguien,alguno,alma,humano,individuo,mortal,persona,ser_humano;-1
spa-30-00178909-r;r;positive;0.75;ampliamente,generosamente;-1
spa-30-02193194-v;v;neutral;0.75;detectar,discernir,distinguir,reconocer,sentir;-1
spa-30-13920835-n;n;neutral;0.75;circunstancias,condición,situación;-1
spa-30-00318667-a;a;neutral;0.75;radical;-1
spa-30-02402825-v;v;negative;0.75;dar_aviso,dejar_cesante,despachar,despedir,destituir,echar,finiquitar,poder;-1
spa-30-00802318-v;v;positive;0.75;dar_permiso,dejar,permitir,sancionar;-1
spa-30-14580897-n;n;neutral;0.75;materia,material;-1
spa-30-00257182-r;r;neutral;0.75;por_el_momento,temporal,temporalmente;-1
spa-30-02236842-a;a;neutral;0.75;liso,llano,suave;-1
spa-30-01264336-a;a;positive;0.75;divertido,gracioso;-1
spa-30-01769565-a;a;neutral;0.75;impersonal;-1
